year,male,female,total
1972,531,529,530
1973,523,521,523
1974,524,520,521
1975,515,509,512
1976,511,508,509
1977,509,505,507
1978,511,503,507
1979,509,501,505
1980,506,498,502
1981,508,496,502
1982,509,499,504
1983,508,498,503
1984,511,498,504
1985,514,503,509
1986,515,504,509
1987,512,502,507
1988,512,499,505
1989,510,498,504
1990,505,496,500
1991,503,495,499
1992,504,496,500
1993,504,497,500
1994,501,497,499
1995,505,502,504
1996,507,503,505
1997,507,503,505
1998,509,502,505
1999,509,502,505
2000,507,504,505
2001,509,502,506
2002,507,502,504
2003,512,503,507
2004,512,504,508
2005,513,505,508
2006,505,502,503
2007,503,500,501
2008,502,499,500
2009,502,497,499
2010,502,498,500
2011,500,495,497
2012,498,493,496
2013,499,494,496
2014,499,495,497
2015,497,493,495
2016,495,493,494
