year,male,female,total
1972,,,
1973,,,
1974,,,
1975,,,
1976,,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,,,
1999,,,
2000,,,
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,491,502,497
2007,487,499,493
2008,486,499,493
2009,485,498,492
2010,485,497,491
2011,482,496,489
2012,481,494,488
2013,482,493,488
2014,481,492,487
2015,478,490,484
2016,475,487,482
